BriefDescription,ProjectYear,InternalProjectID,ImprovementType,AreaTypeFuncClass,main_ProjectInformation.State,TollType,TrafficForecast,ForecastYear,ForecastYearType,YearForecastProduced,ForecastingAgency,ForecastMethodology,SegmentDescription,ProjectID,SegmentID,CountID,Year_ofObservation,Count,Station_Identifier,main_TrafficCounts.State,CounterID,FunctionalClass,AdjustedForecast
"SR 501 Resurfacing Project on SR 501 from CR 503 (M.P. 1.193) to the north of Otterbein Avenue
(M.P. 2.671)",2007,237567-1,1,3,FL,No Tolls on 1+ lane,21500,2007,1,2007,5-Consultant,1-Traffic count trend,Michigan Boulevard to M.P 2.671,"12-9026-237567-1-SR 501 Resurfacing Project on SR 501 from CR 503 (M.P. 1.193) to the north of Otterbein Avenue
(M.P. 2.671)",2,12-24729-705206,2009,22500,705206,Florida,12-24729-705206,3-Principal Arterial,21500
"SR 501 Resurfacing Project on SR 501 from CR 503 (M.P. 1.193) to the north of Otterbein Avenue
(M.P. 2.671)",2007,237567-1,1,3,FL,No Tolls on 1+ lane,28200,2017,2,2007,5-Consultant,1-Traffic count trend,Michigan Boulevard to M.P 2.671,"12-9026-237567-1-SR 501 Resurfacing Project on SR 501 from CR 503 (M.P. 1.193) to the north of Otterbein Avenue
(M.P. 2.671)",2,12-24729-705206,2019,NA,705206,Florida,12-24729-705206,3-Principal Arterial,20750
"SR 501 Resurfacing Project on SR 501 from CR 503 (M.P. 1.193) to the north of Otterbein Avenue
(M.P. 2.671)",2007,237567-1,1,3,FL,No Tolls on 1+ lane,34800,2027,3,2007,5-Consultant,1-Traffic count trend,Michigan Boulevard to M.P 2.671,"12-9026-237567-1-SR 501 Resurfacing Project on SR 501 from CR 503 (M.P. 1.193) to the north of Otterbein Avenue
(M.P. 2.671)",2,12-24729-705206,2029,NA,705206,Florida,12-24729-705206,3-Principal Arterial,19900
Add lanes and Reconstruct Project for the SR 5/US 1 (M.P 16.269-M.P. 20622),2002,237576-1,4,3,FL,No Tolls on 1+ lane,56700,2007,1,2002,5-Consultant,1-Traffic count trend,M.P 16.269-M.P. 20622,12-9027-237576-1-Add lanes and Reconstruct Project for the SR 5/US 1 (M.P 16.269-M.P. 20622),1,12-24730-700169,2009,30500,700169,Florida,12-24730-700169,3-Principal Arterial,56700
Add lanes and Reconstruct Project for the SR 5/US 1 (M.P 16.269-M.P. 20622),2002,237576-1,4,3,FL,No Tolls on 1+ lane,67700,2017,2,2002,5-Consultant,1-Traffic count trend,M.P 16.269-M.P. 20622,12-9027-237576-1-Add lanes and Reconstruct Project for the SR 5/US 1 (M.P 16.269-M.P. 20622),1,12-24730-700169,2019,NA,700169,Florida,12-24730-700169,3-Principal Arterial,56750
Add lanes and Reconstruct Project for the SR 5/US 1 (M.P 16.269-M.P. 20622),2002,237576-1,4,3,FL,No Tolls on 1+ lane,78600,2027,3,2002,5-Consultant,1-Traffic count trend,M.P 16.269-M.P. 20622,12-9027-237576-1-Add lanes and Reconstruct Project for the SR 5/US 1 (M.P 16.269-M.P. 20622),1,12-24730-700169,2029,NA,700169,Florida,12-24730-700169,3-Principal Arterial,56700
Add lanes and Reconstruct Project for the SR 5/US 1 (M.P 20.622 to M.P. 25.115),2002,237592-1,4,3,FL,No Tolls on 1+ lane,43500,2007,1,2002,5-Consultant,4-Regional travel model,M.P 20.622 to M.P. 25.115,12-9028-237592-1-Add lanes and Reconstruct Project for the SR 5/US 1 (M.P 20.622 to M.P. 25.115),1,12-24731-705064,2009,37000,705064,Florida,12-24731-705064,3-Principal Arterial,43500
Add lanes and Reconstruct Project for the SR 5/US 1 (M.P 20.622 to M.P. 25.115),2002,237592-1,4,3,FL,No Tolls on 1+ lane,50000,2017,2,2002,5-Consultant,4-Regional travel model,M.P 20.622 to M.P. 25.115,12-9028-237592-1-Add lanes and Reconstruct Project for the SR 5/US 1 (M.P 20.622 to M.P. 25.115),1,12-24731-705064,2019,NA,705064,Florida,12-24731-705064,3-Principal Arterial,43400
Add lanes and Reconstruct Project for the SR 5/US 1 (M.P 20.622 to M.P. 25.115),2002,237592-1,4,3,FL,No Tolls on 1+ lane,56700,2027,3,2002,5-Consultant,4-Regional travel model,M.P 20.622 to M.P. 25.115,12-9028-237592-1-Add lanes and Reconstruct Project for the SR 5/US 1 (M.P 20.622 to M.P. 25.115),1,12-24731-705064,2029,NA,705064,Florida,12-24731-705064,3-Principal Arterial,43500
Add lanes and Reconstruct Project for the SR 5/US 2 (M.P. 21.351-M.P. 25.193),2010,237592-2,4,3,FL,No Tolls on 1+ lane,34400,2015,1,2010,5-Consultant,4-Regional travel model,M.P. 22.135-M.P. 23.009,12-9030-237592-2-Add lanes and Reconstruct Project for the SR 5/US 2 (M.P. 21.351-M.P. 25.193),2,12-24733-705064,2017,27000,705064,Florida,12-24733-705064,3-Principal Arterial,34400
Add lanes and Reconstruct Project for the SR 5/US 2 (M.P. 21.351-M.P. 25.193),2010,237592-2,4,3,FL,No Tolls on 1+ lane,38500,2025,2,2010,5-Consultant,4-Regional travel model,M.P. 22.135-M.P. 23.009,12-9030-237592-2-Add lanes and Reconstruct Project for the SR 5/US 2 (M.P. 21.351-M.P. 25.193),2,12-24733-705064,2027,NA,705064,Florida,12-24733-705064,3-Principal Arterial,34500
Add lanes and Reconstruct Project for the SR 5/US 2 (M.P. 21.351-M.P. 25.193),2010,237592-2,4,3,FL,No Tolls on 1+ lane,42600,2035,3,2010,5-Consultant,4-Regional travel model,M.P. 22.135-M.P. 23.009,12-9030-237592-2-Add lanes and Reconstruct Project for the SR 5/US 2 (M.P. 21.351-M.P. 25.193),2,12-24733-705064,2037,NA,705064,Florida,12-24733-705064,3-Principal Arterial,34600
Add lanes and Reconstruct Project for the SR 5/US 2 (M.P. 21.351-M.P. 25.193),2010,237592-2,4,3,FL,No Tolls on 1+ lane,33600,2015,1,2010,5-Consultant,4-Regional travel model,M.P. 21.351-M.P. 22.135,12-9029-237592-2-Add lanes and Reconstruct Project for the SR 5/US 2 (M.P. 21.351-M.P. 25.193),1,12-24732-705125,2017,26500,705125,Florida,12-24732-705125,3-Principal Arterial,33600
Add lanes and Reconstruct Project for the SR 5/US 2 (M.P. 21.351-M.P. 25.193),2010,237592-2,4,3,FL,No Tolls on 1+ lane,37600,2025,2,2010,5-Consultant,4-Regional travel model,M.P. 21.351-M.P. 22.135,12-9029-237592-2-Add lanes and Reconstruct Project for the SR 5/US 2 (M.P. 21.351-M.P. 25.193),1,12-24732-705125,2027,NA,705125,Florida,12-24732-705125,3-Principal Arterial,33600
Add lanes and Reconstruct Project for the SR 5/US 2 (M.P. 21.351-M.P. 25.193),2010,237592-2,4,3,FL,No Tolls on 1+ lane,41600,2035,3,2010,5-Consultant,4-Regional travel model,M.P. 21.351-M.P. 22.135,12-9029-237592-2-Add lanes and Reconstruct Project for the SR 5/US 2 (M.P. 21.351-M.P. 25.193),1,12-24732-705125,2037,NA,705125,Florida,12-24732-705125,3-Principal Arterial,33600
Add lanes and Reconstruct Project for the SR 5/US 2 (M.P. 21.351-M.P. 25.193),2010,237592-2,4,3,FL,No Tolls on 1+ lane,33100,2015,1,2010,5-Consultant,4-Regional travel model,M.P. 23.009-M.P. 25.193,12-9031-237592-2-Add lanes and Reconstruct Project for the SR 5/US 2 (M.P. 21.351-M.P. 25.193),3,12-24734-700403,2017,27500,700403,Florida,12-24734-700403,3-Principal Arterial,33100
Add lanes and Reconstruct Project for the SR 5/US 2 (M.P. 21.351-M.P. 25.193),2010,237592-2,4,3,FL,No Tolls on 1+ lane,37000,2025,2,2010,5-Consultant,4-Regional travel model,M.P. 23.009-M.P. 25.193,12-9031-237592-2-Add lanes and Reconstruct Project for the SR 5/US 2 (M.P. 21.351-M.P. 25.193),3,12-24734-700403,2027,NA,700403,Florida,12-24734-700403,3-Principal Arterial,33000
Add lanes and Reconstruct Project for the SR 5/US 2 (M.P. 21.351-M.P. 25.193),2010,237592-2,4,3,FL,No Tolls on 1+ lane,41000,2035,3,2010,5-Consultant,4-Regional travel model,M.P. 23.009-M.P. 25.193,12-9031-237592-2-Add lanes and Reconstruct Project for the SR 5/US 2 (M.P. 21.351-M.P. 25.193),3,12-24734-700403,2037,NA,700403,Florida,12-24734-700403,3-Principal Arterial,33000
Intersection Improvement of S.R. 5 (US 1) at S.R. 518 in Brevard County (M.P. 3.990 to M.P. 4.100),2001,237629-1,2,3,FL,No Tolls on 1+ lane,48300,2002,1,2001,5-Consultant,4-Regional travel model,M.P. 3.990 to M.P. 4.100,12-9032-237629-1-Intersection Improvement of S.R. 5 (US 1) at S.R. 518 in Brevard County (M.P. 3.990 to M.P. 4.100),1,12-24735-705027,2004,NA,705027,Florida,12-24735-705027,3-Principal Arterial,48300
Intersection Improvement of S.R. 5 (US 1) at S.R. 518 in Brevard County (M.P. 3.990 to M.P. 4.100),2001,237629-1,2,3,FL,No Tolls on 1+ lane,53800,2012,2,2001,5-Consultant,4-Regional travel model,M.P. 3.990 to M.P. 4.100,12-9032-237629-1-Intersection Improvement of S.R. 5 (US 1) at S.R. 518 in Brevard County (M.P. 3.990 to M.P. 4.100),1,12-24735-705027,2014,55000,705027,Florida,12-24735-705027,3-Principal Arterial,48300
Intersection Improvement of S.R. 5 (US 1) at S.R. 518 in Brevard County (M.P. 3.990 to M.P. 4.100),2001,237629-1,2,3,FL,No Tolls on 1+ lane,59300,2022,3,2001,5-Consultant,4-Regional travel model,M.P. 3.990 to M.P. 4.100,12-9032-237629-1-Intersection Improvement of S.R. 5 (US 1) at S.R. 518 in Brevard County (M.P. 3.990 to M.P. 4.100),1,12-24735-705027,2024,NA,705027,Florida,12-24735-705027,3-Principal Arterial,48300
"The SR 5 (US 1) resurfacing project from SR 500/US 192 (M.P. 0.000) to CR 511/Aurora
Rd. (M.P. 4.511)",2009,424886-1,1,3,FL,No Tolls on 1+ lane,56400,2011,1,2009,5-Consultant,5-Professional judgement,,"12-9109-424886-1-The SR 5 (US 1) resurfacing project from SR 500/US 192 (M.P. 0.000) to CR 511/Aurora
Rd. (M.P. 4.511)",2,12-24808-705027,2013,57000,705027,Florida,12-24808-705027,3-Principal Arterial,56400
"The SR 5 (US 1) resurfacing project from SR 500/US 192 (M.P. 0.000) to CR 511/Aurora
Rd. (M.P. 4.511)",2009,424886-1,1,3,FL,No Tolls on 1+ lane,61900,2021,2,2009,5-Consultant,5-Professional judgement,,"12-9109-424886-1-The SR 5 (US 1) resurfacing project from SR 500/US 192 (M.P. 0.000) to CR 511/Aurora
Rd. (M.P. 4.511)",2,12-24808-705027,2023,NA,705027,Florida,12-24808-705027,3-Principal Arterial,58300
"The SR 5 (US 1) resurfacing project from SR 500/US 192 (M.P. 0.000) to CR 511/Aurora
Rd. (M.P. 4.511)",2009,424886-1,1,3,FL,No Tolls on 1+ lane,67500,2031,3,2009,5-Consultant,5-Professional judgement,,"12-9109-424886-1-The SR 5 (US 1) resurfacing project from SR 500/US 192 (M.P. 0.000) to CR 511/Aurora
Rd. (M.P. 4.511)",2,12-24808-705027,2033,NA,705027,Florida,12-24808-705027,3-Principal Arterial,60300
From o.1 mile west of I-95 to S.R. 5(US 1) (M.P. 2.949),2001,237632-1,,,FL,No Tolls on 1+ lane,19500,2004,1,2001,5-Consultant,,M.P. 2.949,12-9033-237632-1-From o.1 mile west of I-95 to S.R. 5(US 1) (M.P. 2.949),1,12-24736-705147,2006,14100,705147,Florida,12-24736-705147,3-Principal Arterial,19500
From o.1 mile west of I-95 to S.R. 5(US 1) (M.P. 2.949),2001,237632-1,,,FL,No Tolls on 1+ lane,25800,2014,2,2001,5-Consultant,,M.P. 2.949,12-9033-237632-1-From o.1 mile west of I-95 to S.R. 5(US 1) (M.P. 2.949),1,12-24736-705147,2016,13300,705147,Florida,12-24736-705147,3-Principal Arterial,15250
From o.1 mile west of I-95 to S.R. 5(US 1) (M.P. 2.949),2001,237632-1,,,FL,No Tolls on 1+ lane,40600,2024,3,2001,5-Consultant,,M.P. 2.949,12-9033-237632-1-From o.1 mile west of I-95 to S.R. 5(US 1) (M.P. 2.949),1,12-24736-705147,2026,NA,705147,Florida,12-24736-705147,3-Principal Arterial,19500
CR 507 and SR 507 Reconstruction Project,2002,237650-2,1,3,FL,No Tolls on 1+ lane,32300,2006,1,2002,5-Consultant,4-Regional travel model,CR 507,12-9034-237650-2-CR 507 and SR 507 Reconstruction Project,1,12-24737-705131,2008,32500,705131,Florida,12-24737-705131,3-Principal Arterial,32300
CR 507 and SR 507 Reconstruction Project,2002,237650-2,1,3,FL,No Tolls on 1+ lane,3900,2016,2,2002,5-Consultant,4-Regional travel model,CR 507,12-9034-237650-2-CR 507 and SR 507 Reconstruction Project,1,12-24737-705131,2018,NA,705131,Florida,12-24737-705131,3-Principal Arterial,-3450
CR 507 and SR 507 Reconstruction Project,2002,237650-2,1,3,FL,No Tolls on 1+ lane,47000,2026,3,2002,5-Consultant,4-Regional travel model,CR 507,12-9034-237650-2-CR 507 and SR 507 Reconstruction Project,1,12-24737-705131,2028,NA,705131,Florida,12-24737-705131,3-Principal Arterial,32300
CR 507 and SR 507 Reconstruction Project,2002,237650-2,1,3,FL,No Tolls on 1+ lane,25500,2006,1,2002,5-Consultant,4-Regional travel model,SR 507,12-9035-237650-2-CR 507 and SR 507 Reconstruction Project,2,12-24738-705131,2008,32500,705131,Florida,12-24738-705131,3-Principal Arterial,25500
CR 507 and SR 507 Reconstruction Project,2002,237650-2,1,3,FL,No Tolls on 1+ lane,30800,2016,2,2002,5-Consultant,4-Regional travel model,SR 507,12-9035-237650-2-CR 507 and SR 507 Reconstruction Project,2,12-24738-705131,2018,NA,705131,Florida,12-24738-705131,3-Principal Arterial,23450
CR 507 and SR 507 Reconstruction Project,2002,237650-2,1,3,FL,No Tolls on 1+ lane,37100,2026,3,2002,5-Consultant,4-Regional travel model,SR 507,12-9035-237650-2-CR 507 and SR 507 Reconstruction Project,2,12-24738-705131,2028,NA,705131,Florida,12-24738-705131,3-Principal Arterial,22400
"The SR 507  Add Lanes and Reconstruct Project from SR 514 (M.P. 0.000) to Intersection
Reconstruction (M.P. 0.170)",2006,237650-3,4,3,FL,No Tolls on 1+ lane,36600,2011,1,2006,5-Consultant,4-Regional travel model,M.P. 0.000 to M.P. 1.700,"12-9036-237650-3-The SR 507  Add Lanes and Reconstruct Project from SR 514 (M.P. 0.000) to Intersection
Reconstruction (M.P. 0.170)",1,12-24739-700345,2013,28100,700345,Florida,12-24739-700345,3-Principal Arterial,36600
"The SR 507  Add Lanes and Reconstruct Project from SR 514 (M.P. 0.000) to Intersection
Reconstruction (M.P. 0.170)",2006,237650-3,4,3,FL,No Tolls on 1+ lane,45100,2021,2,2006,5-Consultant,4-Regional travel model,M.P. 0.000 to M.P. 1.700,"12-9036-237650-3-The SR 507  Add Lanes and Reconstruct Project from SR 514 (M.P. 0.000) to Intersection
Reconstruction (M.P. 0.170)",1,12-24739-700345,2023,NA,700345,Florida,12-24739-700345,3-Principal Arterial,36600
"The SR 507  Add Lanes and Reconstruct Project from SR 514 (M.P. 0.000) to Intersection
Reconstruction (M.P. 0.170)",2006,237650-3,4,3,FL,No Tolls on 1+ lane,53600,2031,3,2006,5-Consultant,4-Regional travel model,M.P. 0.000 to M.P. 1.700,"12-9036-237650-3-The SR 507  Add Lanes and Reconstruct Project from SR 514 (M.P. 0.000) to Intersection
Reconstruction (M.P. 0.170)",1,12-24739-700345,2033,NA,700345,Florida,12-24739-700345,3-Principal Arterial,36600
"The SR 507 Resurfacing Project from Malabar Boulevard (M.P. 0.000) to CR 516 (Palm Bay Road)
(M.P. 2.270).",2007,421991-1,1,3,FL,No Tolls on 1+ lane,45000,2010,1,2007,5-Consultant,5-Professional judgement,MP 0 to MO 2.270,"12-9177-421991-1-The SR 507 Resurfacing Project from Malabar Boulevard (M.P. 0.000) to CR 516 (Palm Bay Road)
(M.P. 2.270).",1,12-24872-700345,2012,28881,700345,Florida,12-24872-700345,3-Principal Arterial,45000
"The SR 507 Resurfacing Project from Malabar Boulevard (M.P. 0.000) to CR 516 (Palm Bay Road)
(M.P. 2.270).",2007,421991-1,1,3,FL,No Tolls on 1+ lane,52300,2020,2,2007,5-Consultant,5-Professional judgement,MP 0 to MO 2.270,"12-9177-421991-1-The SR 507 Resurfacing Project from Malabar Boulevard (M.P. 0.000) to CR 516 (Palm Bay Road)
(M.P. 2.270).",1,12-24872-700345,2022,NA,700345,Florida,12-24872-700345,3-Principal Arterial,45050
"The SR 507 Resurfacing Project from Malabar Boulevard (M.P. 0.000) to CR 516 (Palm Bay Road)
(M.P. 2.270).",2007,421991-1,1,3,FL,No Tolls on 1+ lane,59500,2030,3,2007,5-Consultant,5-Professional judgement,MP 0 to MO 2.270,"12-9177-421991-1-The SR 507 Resurfacing Project from Malabar Boulevard (M.P. 0.000) to CR 516 (Palm Bay Road)
(M.P. 2.270).",1,12-24872-700345,2032,NA,700345,Florida,12-24872-700345,3-Principal Arterial,45000
"Add Lanes and Reconstruction Project on SR 100 from SR 5/US 1 (M.P. 0.000) to 0.10 Mi. west of
Belle Terre Pkwy (M.P. 2.188).",2004,237965-1,4,1,FL,No Tolls on 1+ lane,9800,2006,1,2004,5-Consultant,4-Regional travel model,(M.P. 0.000) to (M.P. 2.188),"12-9037-237965-1-Add Lanes and Reconstruction Project on SR 100 from SR 5/US 1 (M.P. 0.000) to 0.10 Mi. west of
Belle Terre Pkwy (M.P. 2.188).",1,12-24740-735003,2008,14900,735003,Florida,12-24740-735003,3-Principal Arterial,9800
"Add Lanes and Reconstruction Project on SR 100 from SR 5/US 1 (M.P. 0.000) to 0.10 Mi. west of
Belle Terre Pkwy (M.P. 2.188).",2004,237965-1,4,1,FL,No Tolls on 1+ lane,13000,2016,2,2004,5-Consultant,4-Regional travel model,(M.P. 0.000) to (M.P. 2.188),"12-9037-237965-1-Add Lanes and Reconstruction Project on SR 100 from SR 5/US 1 (M.P. 0.000) to 0.10 Mi. west of
Belle Terre Pkwy (M.P. 2.188).",1,12-24740-735003,2018,NA,735003,Florida,12-24740-735003,3-Principal Arterial,9800
"Add Lanes and Reconstruction Project on SR 100 from SR 5/US 1 (M.P. 0.000) to 0.10 Mi. west of
Belle Terre Pkwy (M.P. 2.188).",2004,237965-1,4,1,FL,No Tolls on 1+ lane,16200,2026,3,2004,5-Consultant,4-Regional travel model,(M.P. 0.000) to (M.P. 2.188),"12-9037-237965-1-Add Lanes and Reconstruction Project on SR 100 from SR 5/US 1 (M.P. 0.000) to 0.10 Mi. west of
Belle Terre Pkwy (M.P. 2.188).",1,12-24740-735003,2028,NA,735003,Florida,12-24740-735003,3-Principal Arterial,9800
"SR 5 Resurfacing Project from 132 Feet south of Hibiscus Avenue (M.P. 9.657) to 142
Feet north of Woodland Avenue (M.P. 10.890",2007,422001-1,1,1,FL,No Tolls on 1+ lane,15100,2010,1,2007,5-Consultant,1-Traffic count trend,MP 9.657 to MP 10.890,"12-9176-422001-1-SR 5 Resurfacing Project from 132 Feet south of Hibiscus Avenue (M.P. 9.657) to 142
Feet north of Woodland Avenue (M.P. 10.890",1,12-24871-735003,2012,12900,735003,Florida,12-24871-735003,3-Principal Arterial,15100
"SR 5 Resurfacing Project from 132 Feet south of Hibiscus Avenue (M.P. 9.657) to 142
Feet north of Woodland Avenue (M.P. 10.890",2007,422001-1,1,1,FL,No Tolls on 1+ lane,20700,2020,2,2007,5-Consultant,1-Traffic count trend,MP 9.657 to MP 10.890,"12-9176-422001-1-SR 5 Resurfacing Project from 132 Feet south of Hibiscus Avenue (M.P. 9.657) to 142
Feet north of Woodland Avenue (M.P. 10.890",1,12-24871-735003,2022,NA,735003,Florida,12-24871-735003,3-Principal Arterial,15100
"SR 5 Resurfacing Project from 132 Feet south of Hibiscus Avenue (M.P. 9.657) to 142
Feet north of Woodland Avenue (M.P. 10.890",2007,422001-1,1,1,FL,No Tolls on 1+ lane,26300,2030,3,2007,5-Consultant,1-Traffic count trend,MP 9.657 to MP 10.890,"12-9176-422001-1-SR 5 Resurfacing Project from 132 Feet south of Hibiscus Avenue (M.P. 9.657) to 142
Feet north of Woodland Avenue (M.P. 10.890",1,12-24871-735003,2032,NA,735003,Florida,12-24871-735003,3-Principal Arterial,15100
Add lanes and Reconstruction Project on SR 35 (M.P 0.000 to M.P. 1.207),2005,411256-3,4,1,FL,No Tolls on 1+ lane,13300,2009,1,2005,5-Consultant,1-Traffic count trend,SR 35,12-9038-411256-3-Add lanes and Reconstruction Project on SR 35 (M.P 0.000 to M.P. 1.207),1,12-24741-361009,2011,14100,361009,Florida,12-24741-361009,3-Principal Arterial,13300
Add lanes and Reconstruction Project on SR 35 (M.P 0.000 to M.P. 1.207),2005,411256-3,4,1,FL,No Tolls on 1+ lane,17800,2019,2,2005,5-Consultant,1-Traffic count trend,SR 35,12-9038-411256-3-Add lanes and Reconstruction Project on SR 35 (M.P 0.000 to M.P. 1.207),1,12-24741-361009,2021,NA,361009,Florida,12-24741-361009,3-Principal Arterial,13300
Add lanes and Reconstruction Project on SR 35 (M.P 0.000 to M.P. 1.207),2005,411256-3,4,1,FL,No Tolls on 1+ lane,22300,2029,3,2005,5-Consultant,1-Traffic count trend,SR 35,12-9038-411256-3-Add lanes and Reconstruction Project on SR 35 (M.P 0.000 to M.P. 1.207),1,12-24741-361009,2031,NA,361009,Florida,12-24741-361009,3-Principal Arterial,13300
Add lanes and reconstruction Project on SR 35 (from north of CR 42 (M.P. 1.723) to beginning of 4 lanes (M.P. 3.887),2006,411256-4,4,1,FL,No Tolls on 1+ lane,13600,2011,1,2006,5-Consultant,1-Traffic count trend,SR 35,12-9039-411256-4-Add lanes and reconstruction Project on SR 35 (from north of CR 42 (M.P. 1.723) to beginning of 4 lanes (M.P. 3.887),1,12-24742-361007,2013,12200,361007,Florida,12-24742-361007,3-Principal Arterial,13600
